sku_id,equipment_name,equipment_category,location_id,location_name,on_hand_qty,avg_weekly_forecast_demand,lead_time_days,lead_time_demand,safety_stock,reorder_point,weeks_of_cover,risk_status,reorder_qty_recommended
SKU-001,Cinema Camera Body A,Camera,LOC-04,New Orleans,6,3.95,17,9.59,10.43,20.02,1.52,Critical,14
SKU-070,FPV Drone Kit A,Drone,LOC-02,Atlanta,2,1.32,21,3.95,6.71,10.66,1.52,Critical,9
SKU-005,Documentary Camera Body B,Camera,LOC-01,Los Angeles,8,3.29,14,6.58,9.46,16.04,2.43,Critical,8
SKU-005,Documentary Camera Body B,Camera,LOC-03,New York,7,2.97,14,5.94,9.46,15.4,2.36,Critical,8
SKU-009,Large Format Camera A,Camera,LOC-03,New York,11,2.77,19,7.51,11.03,18.54,3.97,Critical,8
SKU-006,Broadcast Camera Body A,Camera,LOC-04,New Orleans,5,2.02,11,3.18,8.39,11.57,2.47,Critical,7
SKU-007,Compact Cinema Camera A,Camera,LOC-01,Los Angeles,7,2.45,13,4.54,9.12,13.66,2.86,Critical,7
SKU-024,Fresnel Light 1000W,Lighting,LOC-03,New York,8,2.9,12,4.97,10.39,15.36,2.76,Critical,7
SKU-024,Fresnel Light 1000W,Lighting,LOC-04,New Orleans,10,3.87,12,6.63,10.39,17.02,2.59,Critical,7
SKU-060,On-Camera Monitor 5in,Monitor,LOC-04,New Orleans,6,3.52,11,5.53,7.4,12.92,1.71,Critical,7
SKU-067,Cinema Drone A,Drone,LOC-04,New Orleans,2,2.12,13,3.94,5.28,9.22,0.94,Critical,7
SKU-070,FPV Drone Kit A,Drone,LOC-01,Los Angeles,2,0.61,21,1.84,6.71,8.55,3.27,Critical,7
SKU-070,FPV Drone Kit A,Drone,LOC-03,New York,2,0.69,21,2.08,6.71,8.79,2.88,Critical,7
SKU-070,FPV Drone Kit A,Drone,LOC-04,New Orleans,2,0.89,21,2.67,6.71,9.38,2.25,Critical,7
SKU-074,Drone Controller Kit A,Drone,LOC-03,New York,1,0.85,16,1.95,5.86,7.81,1.17,Critical,7
SKU-002,Cinema Camera Body B,Camera,LOC-04,New Orleans,6,1.66,12,2.84,8.76,11.6,3.62,Critical,6
SKU-063,Waveform Monitor A,Monitor,LOC-04,New Orleans,3,2.07,8,2.37,6.31,8.68,1.45,Critical,6
