sku_id,location_id,on_hand_qty,equipment_name,equipment_category,lead_time_days,avg_weekly_forecast_demand,std_error,lead_time_weeks,lead_time_demand,safety_stock,reorder_point,weeks_of_cover,risk_status,reorder_qty_recommended
SKU-001,LOC-01,40,Cinema Camera Body A,Camera,17,3.4457940561153335,4.068691617973723,2.43,8.37,10.43,18.8,11.61,OK,0
SKU-001,LOC-02,33,Cinema Camera Body A,Camera,17,5.983348545727484,4.068691617973723,2.43,14.53,10.43,24.96,5.52,OK,0
SKU-001,LOC-03,24,Cinema Camera Body A,Camera,17,3.0840361496427655,4.068691617973723,2.43,7.49,10.43,17.92,7.78,OK,0
SKU-001,LOC-04,6,Cinema Camera Body A,Camera,17,3.949824996455077,4.068691617973723,2.43,9.59,10.43,20.02,1.52,Critical,14
SKU-002,LOC-01,12,Cinema Camera Body B,Camera,12,1.238523765430028,4.068691617973723,1.71,2.12,8.76,10.89,9.69,OK,0
SKU-002,LOC-02,14,Cinema Camera Body B,Camera,12,2.049017887081617,4.068691617973723,1.71,3.51,8.76,12.28,6.83,OK,0
SKU-002,LOC-03,7,Cinema Camera Body B,Camera,12,1.0400975010712796,4.068691617973723,1.71,1.78,8.76,10.55,6.73,Critical,4
SKU-002,LOC-04,6,Cinema Camera Body B,Camera,12,1.6576768843572995,4.068691617973723,1.71,2.84,8.76,11.6,3.62,Critical,6
SKU-003,LOC-01,16,Cinema Camera Body C,Camera,18,2.3849462551556897,4.068691617973723,2.57,6.13,10.73,16.86,6.71,Reorder Now,1
SKU-003,LOC-02,26,Cinema Camera Body C,Camera,18,4.143706668258266,4.068691617973723,2.57,10.66,10.73,21.39,6.27,OK,0
SKU-003,LOC-03,18,Cinema Camera Body C,Camera,18,2.086683189568288,4.068691617973723,2.57,5.37,10.73,16.1,8.63,OK,0
SKU-003,LOC-04,13,Cinema Camera Body C,Camera,18,2.8512130800025752,4.068691617973723,2.57,7.33,10.73,18.06,4.56,Reorder Now,5
SKU-004,LOC-01,21,Documentary Camera Body A,Camera,16,3.668484046875535,4.068691617973723,2.29,8.39,10.12,18.5,5.72,OK,0
SKU-004,LOC-02,27,Documentary Camera Body A,Camera,16,6.431601042063377,4.068691617973723,2.29,14.7,10.12,24.82,4.2,OK,0
SKU-004,LOC-03,16,Documentary Camera Body A,Camera,16,3.0987114687600337,4.068691617973723,2.29,7.08,10.12,17.2,5.16,Reorder Now,1
SKU-004,LOC-04,13,Documentary Camera Body A,Camera,16,4.183975104014105,4.068691617973723,2.29,9.56,10.12,19.68,3.11,Reorder Now,7
