sku_id,location_id,week_start_date,production_type,production_size,production_count,season,units_requested
SKU-001,LOC-01,2024-02-19,Music Video,Medium,1,Winter,5
SKU-001,LOC-01,2024-02-26,Feature Film,Large,3,Winter,13
SKU-001,LOC-01,2024-03-04,Documentary,Medium,2,Spring,1
SKU-001,LOC-01,2024-03-11,Television,Small,4,Spring,1
SKU-001,LOC-01,2024-03-18,Feature Film,Medium,1,Spring,2
SKU-001,LOC-01,2024-03-25,Music Video,Small,2,Spring,1
SKU-001,LOC-01,2024-04-01,Feature Film,Small,1,Spring,1
SKU-001,LOC-01,2024-04-08,Commercial,Small,1,Spring,1
SKU-001,LOC-01,2024-04-15,Television,Small,3,Spring,3
SKU-001,LOC-01,2024-04-22,Television,Medium,2,Spring,4
SKU-001,LOC-01,2024-04-29,Documentary,Large,3,Spring,13
SKU-001,LOC-01,2024-05-06,Commercial,Large,5,Spring,7
SKU-001,LOC-01,2024-05-13,Television,Small,3,Spring,3
SKU-001,LOC-01,2024-05-20,Commercial,Small,3,Spring,0
SKU-001,LOC-01,2024-05-27,Commercial,Small,7,Spring,8
SKU-001,LOC-01,2024-06-03,Commercial,Small,3,Summer,2
SKU-001,LOC-01,2024-06-10,Music Video,Large,2,Summer,8
SKU-001,LOC-01,2024-06-17,Commercial,Small,5,Summer,0
SKU-001,LOC-01,2024-06-24,Feature Film,Small,8,Summer,3
SKU-001,LOC-01,2024-07-01,Television,Small,6,Summer,5
SKU-001,LOC-01,2024-07-08,Music Video,Medium,5,Summer,10
SKU-001,LOC-01,2024-07-15,Commercial,Medium,7,Summer,9
SKU-001,LOC-01,2024-07-22,Documentary,Medium,5,Summer,2
SKU-001,LOC-01,2024-07-29,Music Video,Medium,4,Summer,5
SKU-001,LOC-01,2024-08-05,Television,Small,2,Summer,1
SKU-001,LOC-01,2024-08-12,Feature Film,Small,3,Summer,1
SKU-001,LOC-01,2024-08-19,Documentary,Large,3,Summer,5
SKU-001,LOC-01,2024-08-26,Television,Small,2,Summer,1
SKU-001,LOC-01,2024-09-02,Television,Medium,5,Fall,9
SKU-001,LOC-01,2024-09-09,Feature Film,Large,2,Fall,5
SKU-001,LOC-01,2024-09-16,Television,Large,1,Fall,3
SKU-001,LOC-01,2024-09-23,Music Video,Small,3,Fall,0
SKU-001,LOC-01,2024-09-30,Commercial,Small,3,Fall,2
SKU-001,LOC-01,2024-10-07,Television,Small,1,Fall,0
SKU-001,LOC-01,2024-10-14,Commercial,Small,4,Fall,4
SKU-001,LOC-01,2024-10-21,Commercial,Medium,2,Fall,7
SKU-001,LOC-01,2024-10-28,Television,Medium,4,Fall,13
SKU-001,LOC-01,2024-11-04,Documentary,Medium,7,Fall,10
SKU-001,LOC-01,2024-11-11,Television,Small,2,Fall,2
SKU-001,LOC-01,2024-11-18,Documentary,Large,2,Fall,4
SKU-001,LOC-01,2024-11-25,Television,Large,2,Fall,7
