sku_id,location_id,on_hand_qty
SKU-001,LOC-01,40
SKU-001,LOC-02,33
SKU-001,LOC-03,24
SKU-001,LOC-04,6
SKU-002,LOC-01,12
SKU-002,LOC-02,14
SKU-002,LOC-03,7
SKU-002,LOC-04,6
SKU-003,LOC-01,16
SKU-003,LOC-02,26
SKU-003,LOC-03,18
SKU-003,LOC-04,13
SKU-004,LOC-01,21
SKU-004,LOC-02,27
SKU-004,LOC-03,16
SKU-004,LOC-04,13
SKU-005,LOC-01,8
SKU-005,LOC-02,31
SKU-005,LOC-03,7
SKU-005,LOC-04,27
SKU-006,LOC-01,42
SKU-006,LOC-02,7
SKU-006,LOC-03,24
SKU-006,LOC-04,5
SKU-007,LOC-01,7
SKU-007,LOC-02,16
SKU-007,LOC-03,10
SKU-007,LOC-04,21
SKU-008,LOC-01,26
SKU-008,LOC-02,16
SKU-008,LOC-03,12
SKU-008,LOC-04,8
SKU-009,LOC-01,52
SKU-009,LOC-02,54
SKU-009,LOC-03,11
SKU-009,LOC-04,13
SKU-010,LOC-01,19
SKU-010,LOC-02,44
SKU-010,LOC-03,26
SKU-010,LOC-04,27
SKU-011,LOC-01,22
SKU-011,LOC-02,17
SKU-011,LOC-03,14
SKU-011,LOC-04,15
SKU-012,LOC-01,27
SKU-012,LOC-02,33
SKU-012,LOC-03,15
SKU-012,LOC-04,10
SKU-013,LOC-01,6
SKU-013,LOC-02,17
SKU-013,LOC-03,4
SKU-013,LOC-04,4
SKU-014,LOC-01,22
SKU-014,LOC-02,17
SKU-014,LOC-03,9
SKU-014,LOC-04,15
SKU-015,LOC-01,21
SKU-015,LOC-02,33
SKU-015,LOC-03,6
SKU-015,LOC-04,21
SKU-016,LOC-01,7
SKU-016,LOC-02,25
SKU-016,LOC-03,14
SKU-016,LOC-04,23
SKU-017,LOC-01,12
SKU-017,LOC-02,18
SKU-017,LOC-03,31
SKU-017,LOC-04,15
SKU-018,LOC-01,8
SKU-018,LOC-02,17
SKU-018,LOC-03,10
SKU-018,LOC-04,9
SKU-019,LOC-01,25
SKU-019,LOC-02,20
SKU-019,LOC-03,7
SKU-019,LOC-04,5
SKU-020,LOC-01,33
SKU-020,LOC-02,26
SKU-020,LOC-03,14
SKU-020,LOC-04,15
SKU-021,LOC-01,55
SKU-021,LOC-02,74
SKU-021,LOC-03,18
SKU-021,LOC-04,28
SKU-022,LOC-01,63
SKU-022,LOC-02,78
SKU-022,LOC-03,54
SKU-022,LOC-04,59
SKU-023,LOC-01,97
SKU-023,LOC-02,35
SKU-023,LOC-03,54
SKU-023,LOC-04,79
SKU-024,LOC-01,44
SKU-024,LOC-02,24
SKU-024,LOC-03,8
SKU-024,LOC-04,10
SKU-025,LOC-01,44
SKU-025,LOC-02,40
SKU-025,LOC-03,24
SKU-025,LOC-04,35
SKU-026,LOC-01,36
SKU-026,LOC-02,35
SKU-026,LOC-03,31
SKU-026,LOC-04,14
SKU-027,LOC-01,29
SKU-027,LOC-02,55
SKU-027,LOC-03,58
SKU-027,LOC-04,58
SKU-028,LOC-01,25
SKU-028,LOC-02,55
SKU-028,LOC-03,16
SKU-028,LOC-04,33
SKU-029,LOC-01,13
SKU-029,LOC-02,74
SKU-029,LOC-03,17
SKU-029,LOC-04,17
SKU-030,LOC-01,21
SKU-030,LOC-02,52
SKU-030,LOC-03,51
SKU-030,LOC-04,15
SKU-031,LOC-01,15
SKU-031,LOC-02,69
SKU-031,LOC-03,24
SKU-031,LOC-04,37
SKU-032,LOC-01,9
SKU-032,LOC-02,5
SKU-032,LOC-03,11
SKU-032,LOC-04,12
SKU-033,LOC-01,58
SKU-033,LOC-02,25
SKU-033,LOC-03,9
SKU-033,LOC-04,31
SKU-034,LOC-01,31
SKU-034,LOC-02,56
SKU-034,LOC-03,10
SKU-034,LOC-04,32
SKU-035,LOC-01,23
SKU-035,LOC-02,27
SKU-035,LOC-03,20
SKU-035,LOC-04,13
SKU-036,LOC-01,10
SKU-036,LOC-02,34
SKU-036,LOC-03,10
SKU-036,LOC-04,6
SKU-037,LOC-01,42
SKU-037,LOC-02,75
SKU-037,LOC-03,13
SKU-037,LOC-04,11
SKU-038,LOC-01,20
SKU-038,LOC-02,8
SKU-038,LOC-03,11
SKU-038,LOC-04,8
SKU-039,LOC-01,21
SKU-039,LOC-02,39
SKU-039,LOC-03,23
SKU-039,LOC-04,13
SKU-040,LOC-01,46
SKU-040,LOC-02,56
SKU-040,LOC-03,16
SKU-040,LOC-04,31
SKU-041,LOC-01,34
SKU-041,LOC-02,28
SKU-041,LOC-03,18
SKU-041,LOC-04,66
SKU-042,LOC-01,34
SKU-042,LOC-02,87
SKU-042,LOC-03,39
SKU-042,LOC-04,64
SKU-043,LOC-01,23
SKU-043,LOC-02,16
SKU-043,LOC-03,23
SKU-043,LOC-04,17
SKU-044,LOC-01,16
SKU-044,LOC-02,24
SKU-044,LOC-03,18
SKU-044,LOC-04,13
SKU-045,LOC-01,55
SKU-045,LOC-02,51
SKU-045,LOC-03,19
SKU-045,LOC-04,5
SKU-046,LOC-01,99
SKU-046,LOC-02,55
SKU-046,LOC-03,45
SKU-046,LOC-04,72
SKU-047,LOC-01,60
SKU-047,LOC-02,75
SKU-047,LOC-03,68
SKU-047,LOC-04,43
SKU-048,LOC-01,97
SKU-048,LOC-02,32
SKU-048,LOC-03,29
SKU-048,LOC-04,72
SKU-049,LOC-01,62
SKU-049,LOC-02,67
SKU-049,LOC-03,15
SKU-049,LOC-04,14
SKU-050,LOC-01,64
SKU-050,LOC-02,67
SKU-050,LOC-03,61
SKU-050,LOC-04,17
SKU-051,LOC-01,51
SKU-051,LOC-02,18
SKU-051,LOC-03,9
SKU-051,LOC-04,33
SKU-052,LOC-01,170
SKU-052,LOC-02,49
SKU-052,LOC-03,51
SKU-052,LOC-04,78
SKU-053,LOC-01,211
SKU-053,LOC-02,212
SKU-053,LOC-03,58
SKU-053,LOC-04,60
SKU-054,LOC-01,29
SKU-054,LOC-02,54
SKU-054,LOC-03,24
SKU-054,LOC-04,22
SKU-055,LOC-01,66
SKU-055,LOC-02,32
SKU-055,LOC-03,37
SKU-055,LOC-04,34
SKU-056,LOC-01,93
SKU-056,LOC-02,198
SKU-056,LOC-03,92
SKU-056,LOC-04,123
SKU-057,LOC-01,55
SKU-057,LOC-02,93
SKU-057,LOC-03,50
SKU-057,LOC-04,29
SKU-058,LOC-01,115
SKU-058,LOC-02,71
SKU-058,LOC-03,44
SKU-058,LOC-04,59
SKU-059,LOC-01,38
SKU-059,LOC-02,39
SKU-059,LOC-03,24
SKU-059,LOC-04,29
SKU-060,LOC-01,29
SKU-060,LOC-02,47
SKU-060,LOC-03,9
SKU-060,LOC-04,6
SKU-061,LOC-01,27
SKU-061,LOC-02,37
SKU-061,LOC-03,25
SKU-061,LOC-04,45
SKU-062,LOC-01,38
SKU-062,LOC-02,20
SKU-062,LOC-03,15
SKU-062,LOC-04,8
SKU-063,LOC-01,13
SKU-063,LOC-02,16
SKU-063,LOC-03,8
SKU-063,LOC-04,3
SKU-064,LOC-01,24
SKU-064,LOC-02,84
SKU-064,LOC-03,57
SKU-064,LOC-04,16
SKU-065,LOC-01,95
SKU-065,LOC-02,61
SKU-065,LOC-03,58
SKU-065,LOC-04,46
SKU-066,LOC-01,12
SKU-066,LOC-02,12
SKU-066,LOC-03,5
SKU-066,LOC-04,9
